source_frame,clip_frame,clip_time_s,player_pose_accepted,rig_available,rig_interpolated,left_knee_2d_deg,left_knee_rig3d_deg,ankle_direction_elevation_model_deg,delta_t_replay_s,ankle_delta_x_model_m,ankle_delta_y_model_m,ankle_delta_z_model_m,ball_sam_centroid_x_px,ball_sam_centroid_y_px
2422,0,0,0,0,0,,,,,,,,,
2423,1,0.033367,0,0,0,,,,,,,,,
2424,2,0.066733,0,0,0,,,,,,,,,
2425,3,0.1001,0,0,0,,,,,,,,,
2426,4,0.133467,0,0,0,,,,,,,,,
2427,5,0.166833,0,0,0,,,,,,,,,
2428,6,0.2002,0,0,0,,,,,,,,,
2429,7,0.233567,0,0,0,,,,,,,,,
2430,8,0.266933,0,0,0,,,,,,,,,
2431,9,0.3003,0,0,0,,,,,,,,,
2432,10,0.333667,0,0,0,,,,,,,,,
2433,11,0.367033,0,0,0,,,,,,,,,
2434,12,0.4004,0,0,0,,,,,,,,,
2435,13,0.433767,0,0,0,,,,,,,,,
2436,14,0.467133,0,0,0,,,,,,,,,
2437,15,0.5005,0,0,0,,,,,,,,,
2438,16,0.533867,0,0,0,,,,,,,,,
2439,17,0.567233,0,0,0,,,,,,,,,
2440,18,0.6006,0,0,0,,,,,,,,,
2441,19,0.633967,0,0,0,,,,,,,,,
2442,20,0.667333,0,0,0,,,,,,,,,
2443,21,0.7007,0,0,0,,,,,,,,,
2444,22,0.734067,0,0,0,,,,,,,,,
2445,23,0.767433,0,0,0,,,,,,,,,
2446,24,0.8008,0,0,0,,,,,,,,,
2447,25,0.834167,0,0,0,,,,,,,,,
2448,26,0.867533,0,0,0,,,,,,,,,
2449,27,0.9009,0,0,0,,,,,,,,,
2450,28,0.934267,0,0,0,,,,,,,,,
2451,29,0.967633,0,0,0,,,,,,,,,
2452,30,1.001,0,0,0,,,,,,,,,
2453,31,1.034367,0,0,0,,,,,,,,,
2454,32,1.067733,0,0,0,,,,,,,,,
2455,33,1.1011,0,0,0,,,,,,,,,
2456,34,1.134467,0,0,0,,,,,,,,,
2457,35,1.167833,0,0,0,,,,,,,,,
2458,36,1.2012,0,0,0,,,,,,,,,
2459,37,1.234567,0,0,0,,,,,,,,,
2460,38,1.267933,0,0,0,,,,,,,,,
2461,39,1.3013,0,0,0,,,,,,,,,
2462,40,1.334667,0,0,0,,,,,,,,,
2463,41,1.368033,0,0,0,,,,,,,,,
2464,42,1.4014,0,0,0,,,,,,,,,
2465,43,1.434767,0,0,0,,,,,,,,,
2466,44,1.468133,0,0,0,,,,,,,,,
2467,45,1.5015,0,0,0,,,,,,,,,
2468,46,1.534867,0,0,0,,,,,,,,,
2469,47,1.568233,0,0,0,,,,,,,,,
2470,48,1.6016,0,0,0,,,,,,,,,
2471,49,1.634967,0,0,0,,,,,,,,,
2472,50,1.668333,0,0,0,,,,,,,,,
2473,51,1.7017,0,0,0,,,,,,,,,
2474,52,1.735067,0,0,0,,,,,,,,,
2475,53,1.768433,0,0,0,,,,,,,,,
2476,54,1.8018,1,0,0,162.823856,,,,,,,,
2477,55,1.835167,0,0,0,,,,,,,,,
2478,56,1.868533,1,0,0,95.582487,,,,,,,,
2479,57,1.9019,0,0,0,,,,,,,,,
